mode,scenario,status,requests,ttft_s,tpot_s,prefill_tok_s,decode_tok_s,output_tok_s,hit_rate,saved_prefill_tokens,graph_replay,graph_eager
prefix_off,decode_ladder_bs16,pass,16,1.526546435430646,0.026630032379974085,1409.065710100882,291.11043806324733,133.30677002161914,0.0,0,63,0
phase1_prefix_on,decode_ladder_bs16,pass,16,1.434955196455121,0.026869564162917945,1500.5561658456365,286.46299527304944,136.44154724921907,0.0,0,63,0
route_b_graph,decode_ladder_bs16,pass,16,1.468614000827074,0.0456480681850771,1489.931633995133,278.0640774816723,113.19792118707909,0.0,0,63,0
prefix_off,serving_mixed_112req_wave16,pass,112,0.6324384832488639,0.02670624333187819,4465.248643193321,290.1577947667411,189.738851732737,0.0,0,441,0
phase1_prefix_on,serving_mixed_112req_wave16,pass,112,0.6365909555128643,0.028479035009452442,4432.792056310821,269.7754025738872,180.7565904903334,0.0,0,441,0
route_b_graph,serving_mixed_112req_wave16,pass,112,0.6758807583578995,0.048526105366189086,4412.216094131414,265.18394761822276,141.91244356886477,0.0,0,441,0
prefix_off,prefix_full_hit_257_bs4,pass,4,0.29084457363933325,0.022977653114746012,1961.333270697084,103.53695779247015,22.947575810451838,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_257_bs4,pass,4,0.21508809318765998,0.023013985871026914,578.8258047801907,103.70041376659431,26.789717021588523,0.75,768,6,0
route_b_graph,prefix_full_hit_257_bs4,pass,4,0.23252347949892282,0.03144468630974492,557.326338415793,101.5899246879021,23.61461345757255,0.75,768,6,0
prefix_off,prefix_full_hit_512_bs4,pass,4,1.9058400699868798,0.024296869834264122,775.6543610781082,102.30835682936548,5.588561374556783,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_512_bs4,pass,4,0.31147787580266595,0.024032985636343557,2386.1423221119435,100.3580663497659,21.721807402363318,0.75,768,6,0
route_b_graph,prefix_full_hit_512_bs4,fail,0,,,,,,,0,3,0
prefix_off,prefix_full_hit_513_bs4,pass,4,1.8707376886159182,0.023006712241719164,736.9286602686622,103.71347026803146,5.3337583383817675,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_513_bs4,pass,4,0.20683236047625542,0.02290948464845618,1191.5032383745695,103.7267087529554,27.060318709850954,0.75,1536,6,0
route_b_graph,prefix_full_hit_513_bs4,fail,0,,,,,,,0,3,0
prefix_off,prefix_full_hit_768_bs4,pass,4,2.6409481572918594,0.023227071544776358,593.8041888212904,103.53971502728447,2.9445456653150144,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_768_bs4,pass,4,0.3129773107357323,0.023248477994153898,2824.422624359199,103.27317534626674,21.324793367943727,0.75,1536,6,0
route_b_graph,prefix_full_hit_768_bs4,fail,0,,,,,,,0,3,0
prefix_off,prefix_full_hit_769_bs4,pass,4,1.9825403247959912,0.022877709474414587,1126.5180167601582,104.09754896031407,5.3507912897307355,0.0,0,6,0
phase1_prefix_on,prefix_full_hit_769_bs4,pass,4,0.21745921298861504,0.02286174288019538,1641.550170894925,103.71638551705439,25.026046200122842,0.75,2304,6,0
route_b_graph,prefix_full_hit_769_bs4,fail,0,,,,,,,0,3,0
prefix_off,prefix_full_hit_513_longout_bs4,pass,4,0.4049527305178344,0.022279721204071276,3286.730187227567,103.68422925143044,63.034152164609495,0.0,0,62,0
phase1_prefix_on,prefix_full_hit_513_longout_bs4,pass,4,0.20426128013059497,0.022655315051275875,1233.8134089988614,101.91201872602156,71.60798987819608,0.75,1536,62,0
route_b_graph,prefix_full_hit_513_longout_bs4,fail,0,,,,,,,0,31,0
prefix_off,prefix_partial_hit_769_bs8,pass,8,1.2322125295177102,0.02526365177306746,4071.2740536500332,195.68659380153227,32.98506003192719,0.0,0,14,0
phase1_prefix_on,prefix_partial_hit_769_bs8,pass,8,0.9270422235131264,0.025057619038437097,3520.0445732796225,199.49480796293787,40.35754668166895,0.875,1792,14,0
route_b_graph,prefix_partial_hit_769_bs8,fail,0,,,,,,,0,14,0
prefix_off,prefix_mixed_hit_miss_bs16,pass,16,2.6316053335322067,0.027878672397318515,4747.166990602166,387.1329032032765,37.02467141999774,0.0,0,14,0
phase1_prefix_on,prefix_mixed_hit_miss_bs16,pass,16,1.3109138767467812,0.027765353293424208,4321.139500773985,389.028672207276,63.473315491672395,0.5,6144,14,0
route_b_graph,prefix_mixed_hit_miss_bs16,fail,0,,,,,,,0,7,0
prefix_off,prefix_multi_112req_wave16,pass,112,2.1685266295181855,0.028826209811531767,5100.688291520621,664.5777510053459,53.985098826724645,0.0,0,49,0
phase1_prefix_on,prefix_multi_112req_wave16,pass,112,0.6226752980479172,0.02904472081941001,4169.059332991171,658.7367338808095,154.89061626234678,0.8571428571428571,49152,49,0
route_b_graph,prefix_multi_112req_wave16,fail,0,,,,,,,0,7,0
prefix_off,prefix_eviction_pressure_96req_wave16,pass,96,1.9317648708820343,0.03980559731523196,5100.286092995797,655.354866706875,16.227226118079127,0.0,0,6,0
phase1_prefix_on,prefix_eviction_pressure_96req_wave16,pass,96,1.9278940341124933,0.04103560342142979,5104.669227318369,639.3043030158759,16.249375804197317,0.0,0,6,0
route_b_graph,prefix_eviction_pressure_96req_wave16,fail,0,,,,,,,0,43,0
