scenario,phase1_saved_prefill_tokens,route_b_saved_prefill_tokens,actual_saved_prefill_token_delta,phase1_hit_requests,route_b_hit_requests,phase1_ttft_s,route_b_ttft_s,route_b_minus_phase1_ttft_s
decode_ladder_bs16,0,0,0,0,0,1.4319995734840631,1.4234584383666515,-0.008541135117411613
serving_mixed_112req_wave16,0,0,0,0,0,0.6360463175390448,0.6705938769238335,0.034547559384788706
prefix_full_hit_257_bs4,768,768,0,3,3,0.21737247612327337,0.22749682841822505,0.010124352294951677
prefix_full_hit_512_bs4,768,0,-768,3,0,0.31153238844126463,0.4433561684563756,0.13182378001511097
prefix_full_hit_513_bs4,1536,1536,0,3,3,0.20570897730067372,0.21466708136722445,0.008958104066550732
prefix_full_hit_768_bs4,1536,0,-1536,3,0,0.3120779995806515,0.6242419192567468,0.31216391967609525
prefix_full_hit_769_bs4,2304,2304,0,3,3,0.21712800627574325,0.22616277216002345,0.009034765884280205
prefix_full_hit_513_longout_bs4,1536,1536,0,3,3,0.2061899872496724,0.2109899683855474,0.004799981135874987
prefix_partial_hit_769_bs8,1792,1792,0,7,7,0.9319661308545619,0.973293527495116,0.04132739664055407
prefix_mixed_hit_miss_bs16,6144,6144,0,8,8,1.310890160384588,1.3941010553389788,0.08321089495439082
prefix_multi_112req_wave16,49152,49152,0,96,96,0.6226507412003619,0.7203897312283516,0.09773899002798969
prefix_eviction_pressure_96req_wave16,0,0,0,0,0,1.9316129839668672,2.1186862429603934,0.18707325899352623
