run,scenario,status,verifier_enabled,output_tok_s,decode_tok_s,decode_prepare_s,decode_forward_s,elapsed_s,replay,eager,captured_bs,requested_bs,hit_requests,saved_prefill_tokens,evictions,evicted_tokens,retained_prefix_pages,dirty_rows,clean_rows,component_table_ms
decode_ladder_lifetime,decode_ladder_bs16,pass,False,98.31164331923611,228.76586040260906,0.1638905368745327,1.67857214063406,4.06869406811893,63,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,0,0,0,0,0,0.0
prefix_eviction_r01_lifetime,prefix_eviction_pressure_96req_wave16,pass,False,12.964324883115198,496.2671027328484,0.15703279338777065,0.19344421476125717,14.809872610494494,6,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,3,20480,112,0,0,0.0
prefix_eviction_r02_lifetime,prefix_eviction_pressure_96req_wave16,pass,False,13.087734260252464,505.56951797130375,0.1503752376884222,0.1898848656564951,14.670224515721202,6,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,3,20480,112,0,0,0.0
prefix_multi_r01_lifetime,prefix_multi_112req_wave16,pass,False,96.53465724867641,407.5771265146028,0.2869886253029108,1.9235623124986887,9.281640661880374,49,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",96,49152,0,0,16,0,0,0.0
prefix_multi_r02_lifetime,prefix_multi_112req_wave16,pass,False,109.98835581149632,409.73074085709084,0.2862137109041214,1.9134517423808575,8.146316884085536,49,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",96,49152,0,0,16,0,0,0.0
prefix_multi_r03_lifetime,prefix_multi_112req_wave16,pass,False,109.72577394926294,410.0312974963822,0.2872678730636835,1.912049164995551,8.165811620652676,49,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",96,49152,0,0,16,0,0,0.0
profile_prefix_eviction_lifetime,prefix_eviction_pressure_96req_wave16,pass,False,11.10303141766872,387.7804524750671,0.15627477876842022,0.24756276234984398,17.292574683204293,6,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,3,20480,112,96,0,276.7634525299072
profile_prefix_multi_lifetime,prefix_multi_112req_wave16,pass,False,84.63493858249501,327.3545668902778,0.33163502998650074,2.394956659525633,10.586644416674972,49,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",96,49152,0,0,16,112,672,331.4082864522934
profile_serving_mixed_lifetime,serving_mixed_112req_wave16,pass,False,119.00985328177816,187.75221007212687,1.519651424139738,14.316742258146405,23.527463674545288,441,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,0,0,14,112,2576,352.83485051989555
serving_mixed_r01_lifetime,serving_mixed_112req_wave16,pass,False,162.55054937371486,268.32728711141596,1.1368863843381405,10.017617026343942,17.22541086934507,441,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,0,0,14,0,0,0.0
serving_mixed_r02_lifetime,serving_mixed_112req_wave16,pass,False,165.0752350203982,276.44875866645765,1.150309219956398,9.723320925608277,16.961962826550007,441,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,0,0,14,0,0,0.0
serving_mixed_r03_lifetime,serving_mixed_112req_wave16,pass,False,163.5400882144727,270.49862209985116,1.1204741820693016,9.937204038724303,17.12118435651064,441,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,0,0,14,0,0,0.0
verify_prefix_eviction_lifetime,prefix_eviction_pressure_96req_wave16,pass,True,12.889001887556057,513.6300715177022,0.2814756538718939,0.18690494447946548,14.896421125158668,6,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,3,20480,112,0,0,0.0
verify_serving_mixed_lifetime,serving_mixed_112req_wave16,pass,True,135.1587471240706,271.34930018158826,4.4609098099172115,9.906050976365805,20.71638025343418,441,0,"[16, 8, 4, 2, 1]","[1, 2, 4, 8, 16]",0,0,0,0,14,0,0,0.0
