scenario,phase1_decode_prepare_s,route_b_baseline_decode_prepare_s,route_b_deforest_decode_prepare_s,prepare_reduction_vs_route_b,deforest_output_tok_s,phase1_output_tok_s,deforest_output_vs_phase1
decode_ladder_bs16,0.1327905561774969,0.6446232125163078,0.6538532171398401,-0.01431844904793712,113.0192712787248,137.3753762357983,0.8227039981658182
prefix_eviction_pressure_96req_wave16,0.017471330240368843,0.15421217679977417,0.13631414249539375,0.11606109631419603,14.384942928794773,16.247567707195916,0.8853597774160251
prefix_full_hit_257_bs4,0.011844107881188393,0.03605649247765541,0.028080886229872704,0.22119750701556107,24.544501633314727,26.640449304181832,0.921324612549305
prefix_full_hit_512_bs4,0.012755285948514938,0.03738166578114033,0.034914568066596985,0.06599753282765784,16.8916724549435,21.523535685651193,0.7848000766065792
prefix_full_hit_513_bs4,0.011593282222747803,0.03589062765240669,0.029757056385278702,0.1708961828845781,25.036747366799794,27.359596495177787,0.9150992914392067
prefix_full_hit_513_longout_bs4,0.11531607806682587,0.36103853210806847,4.622731074690819,-11.80398257687108,19.811021268361667,72.42019528104707,0.27355658447867187
prefix_full_hit_768_bs4,0.012542694807052612,0.03770401328802109,0.0352291613817215,0.06563895167854385,13.083299062901188,21.127188020131072,0.6192636261122278
prefix_full_hit_769_bs4,0.011905625462532043,0.0357067734003067,0.18442597053945065,-4.165013608814806,18.952423430969922,24.93336838041495,0.7601228659444572
prefix_mixed_hit_miss_bs16,0.031439781188964844,0.19820290245115757,0.17741506546735764,0.10488159722546246,55.34620575018935,63.102398671013695,0.8770856087220789
prefix_multi_112req_wave16,0.13356655277311802,1.2080622911453247,2.2055416088551283,-0.825685335119703,101.04768818654493,146.62698533155165,0.689147962484919
prefix_partial_hit_769_bs8,0.028183588758111,0.12098590843379498,0.6827528662979603,-4.64324287957528,27.47071920275234,40.24509280415131,0.6825855598454158
serving_mixed_112req_wave16,0.9241746626794338,4.5288273729383945,4.4735068548470736,0.012215196901052982,140.00552252484476,180.35374859247375,0.7762828531011041
