Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.2,304306921166,597424,509365.1,68308.0,2705,1822162225,11397284.8,cudaStreamSynchronize
31.2,163185885271,25943504,6290.0,5390.0,3858,1260721097,445945.7,cudaLaunchKernel
2.3,12238773705,1267384,9656.7,8406.0,3006,14977235,13983.5,cudaMemcpyAsync
1.5,8039002029,232,34650870.8,23915.0,3487,1030447736,174514715.1,cudaHostAlloc
1.4,7464774425,488,15296668.9,131977.5,36098,480429397,67781336.3,cuModuleLoadData
0.9,4835723826,2104,2298347.8,39975.0,6372,10440548,2708787.4,cudaDeviceSynchronize
0.9,4524192143,628384,7199.7,6763.0,4438,9424412,34865.2,cuLaunchKernelEx
0.7,3854991651,3992,965679.3,621620.5,7073,42749031,1974517.7,cudaMalloc
0.5,2616666800,384,6814236.5,5249078.0,1004454,20030450,4323033.5,cuMemExportToShareableHandle
0.4,1971523032,261112,7550.5,6692.0,5500,7297574,41957.1,cuLaunchKernel
0.2,1304865174,1552,840763.6,681818.5,149210,9902138,844956.0,cuMemSetAccess
0.2,1255789836,270344,4645.2,3516.0,2224,11364871,38698.5,cudaEventRecord
0.2,997675763,72,13856607.8,7823350.0,2049112,132601951,20415055.8,cudaGetDeviceProperties_v2_v12000
0.2,841945342,384,2192566.0,1740984.5,159609,8586311,1540197.2,cuMemImportFromShareableHandle
0.1,630113137,3112,202478.5,46151.5,120,2283692,327745.5,cuMemRelease
0.1,590746722,1552,380635.8,280942.0,66084,2421290,312168.9,cuMemUnmap
0.1,560791506,200074,2802.9,420.0,230,387551646,872376.8,cudaThreadExchangeStreamCaptureMode_v10010
0.1,552593758,1176,469892.7,182692.5,42209,2215103,453659.1,cuMemCreate
0.1,505977007,120,4216475.1,4012559.0,88366,10994026,2419017.4,cuLibraryLoadData
0.1,470564061,190629,2468.5,2444.0,571,192472,2621.9,cudaEventQuery
0.1,397102025,96328,4122.4,3627.0,2334,2768702,10234.6,cudaEventRecordWithFlags_v11010
0.1,336879091,1632,206421.0,159955.0,42199,2756849,233604.7,cudaFree
0.1,309712815,1552,199557.2,129598.0,2074,2007895,273432.7,cuMemMap
0.1,277000345,261120,1060.8,782.0,641,8193504,36641.7,cuKernelGetFunction
0.1,269935824,180520,1495.3,1473.0,681,7276525,41389.1,cudaStreamWaitEvent
0.0,177276679,91489,1937.7,1512.0,370,1706911,6538.9,cudaEventCreateWithFlags
0.0,168409578,190480,884.1,852.0,400,4182553,9595.0,cudaStreamIsCapturing_v10000
0.0,145263152,1024,141858.5,2656.0,2144,18185962,869008.3,cudaStreamCreateWithPriority
0.0,84081865,91184,922.1,881.0,401,242094,1752.0,cudaEventDestroy
0.0,74785631,90112,829.9,792.0,641,87865,404.2,cudaStreamGetCaptureInfo_v2_v11030
0.0,36522009,90112,405.3,360.0,281,15960,230.2,cudaGetFuncBySymbol_v11000
0.0,18131058,24,755460.8,34790.0,4057,4694263,1329672.2,cudaStreamCreateWithFlags
0.0,15579123,1552,10038.1,6522.0,2104,169738,12412.6,cuMemAddressReserve
0.0,14231489,1752,8123.0,6221.5,2776,225713,9991.3,cudaMemsetAsync
0.0,10315195,32,322349.8,30122.0,19366,1579071,521630.6,cudaFreeHost
0.0,6398988,1552,4123.1,2334.0,892,198542,6905.4,cuMemAddressFree
0.0,4818757,1024,4705.8,4559.0,3757,19797,884.3,cudaEventSynchronize
0.0,3856100,14088,273.7,190.5,90,12703,332.7,cuGetProcAddress_v2
0.0,2809308,24,117054.5,65453.0,38262,563136,129815.0,cudaMemGetInfo
0.0,2344264,1552,1510.5,802.0,271,62598,3231.1,cuMemRetainAllocationHandle
0.0,1027856,128,8030.1,8525.5,642,21009,4849.7,cuLibraryGetKernel
0.0,888846,8,111105.8,106634.5,89859,137357,17629.5,cudaMemPoolDestroy_v11020
0.0,825086,8,103135.8,70777.5,62848,338855,95425.2,cudaMemPoolCreate_v11020
0.0,460212,24,19175.5,10780.0,4949,58670,15465.9,cudaStreamDestroy
0.0,330272,1560,211.7,190.0,120,1042,89.5,cuMemGetAllocationGranularity
0.0,175611,48,3658.6,2610.0,1011,10420,2866.7,cuInit
0.0,100694,272,370.2,301.0,230,2014,177.2,cudaGetDriverEntryPoint_v11030
0.0,20255,33,613.8,170.0,140,2826,767.2,cuModuleGetLoadingMode
0.0,15059,8,1882.4,1899.0,1362,2395,280.4,cudaMemPoolSetAttribute_v11020
